ID,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
518,ASUS,Vivobook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,15.6,1,No,No,39990,52990,24,4.4,181,19
519,MSI,Pulse,Intel,Core i7,11th,16,DDR4,1024,0,Windows,64,8,Casual,15.6,2,No,No,129990,179990,27,4.2,14,3
521,Lenovo,Yoga,Intel,Core i5,10th,8,LPDDR4X,512,0,Windows,64,2,Casual,14,1,No,Yes,70798,101090,29,4,21,3
523,Lenovo,Legion,Intel,Core i5,9th,8,DDR4,512,0,Windows,64,4,Casual,15.6,0,No,No,59990,84990,29,3.8,9,1
525,ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,40990,49990,18,4.4,4008,519
526,ASUS,Core,Intel,Core i9,10th,32,DDR4,1024,0,Windows,64,6,Casual,15.6,1,Yes,No,269990,326990,17,4.8,8,1
527,acer,ConceptD,Intel,Core i5,8th,8,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,No,99500,119999,17,0,0,0
528,ASUS,Vivobook,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,No,48990,58990,16,0,0,0
529,HP,Spectre,Intel,Core i7,11th,16,LPDDR4X,1024,0,Windows,64,0,Casual,13.5,1,Yes,No,149999,178464,15,0,0,0
533,ASUS,Vivobook,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,64990,81990,20,0,0,0
534,Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,Casual,15.6,1,No,Yes,41998,56590,25,4.4,529,39
536,MSI,Core,Intel,Core i7,12th,16,DDR4,1024,0,Windows,64,6,Casual,15.6,0,No,No,139990,156990,10,4.5,4,2
537,ASUS,ZenBook,Intel,Core i5,8th,8,LPDDR3,512,0,Windows,64,0,ThinNlight,13.3,1,No,No,72990,90990,19,4.2,44,4
542,HP,Notebook,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64,0,ThinNlight,14,1,No,No,39790,43296,8,3.9,40,3
544,acer,Predator,Intel,Core i7,11th,16,DDR4,1024,0,Windows,64,6,Casual,15.6,1,No,No,129990,149990,13,4.5,54,7
545,acer,Swift,Intel,Core i5,8th,8,DDR3,512,0,Windows,64,0,ThinNlight,14,1,No,No,64990,87999,26,3.8,4,1
